Matrix,Iterations,Method,BestDistance,AverageDistance,BestTour
Matrix 5,100,SA,25.0,25.20,[3, 4, 2, 1, 0]
Matrix 5,100,Hybrid,25.0,25.30,[0, 1, 2, 4, 3]
Matrix 5,200,HC,25.0,25.20,[2, 1, 0, 3, 4]
Matrix 5,200,SA,25.0,25.30,[1, 2, 4, 3, 0]
Matrix 5,200,Hybrid,25.0,25.10,[4, 2, 1, 0, 3]
Matrix 5,300,HC,25.0,25.40,[0, 3, 4, 2, 1]
Matrix 5,300,SA,25.0,25.20,[2, 4, 3, 0, 1]
Matrix 5,300,Hybrid,25.0,25.30,[3, 0, 1, 2, 4]
Matrix 5,400,HC,25.0,25.20,[3, 0, 1, 2, 4]
Matrix 5,400,SA,25.0,25.30,[1, 2, 4, 3, 0]
Matrix 5,400,Hybrid,25.0,25.20,[0, 1, 2, 4, 3]
Matrix 5,500,HC,25.0,25.30,[2, 4, 3, 0, 1]
Matrix 5,500,SA,25.0,25.10,[2, 4, 3, 0, 1]
Matrix 5,500,Hybrid,25.0,25.30,[2, 4, 3, 0, 1]
Matrix 5,600,HC,25.0,25.60,[1, 0, 3, 4, 2]
Matrix 5,600,SA,25.0,25.00,[3, 4, 2, 1, 0]
Matrix 5,600,Hybrid,25.0,25.10,[0, 1, 2, 4, 3]
Matrix 5,700,HC,25.0,25.00,[3, 0, 1, 2, 4]
Matrix 5,700,SA,25.0,25.00,[4, 2, 1, 0, 3]
Matrix 5,700,Hybrid,25.0,25.30,[2, 4, 3, 0, 1]
Matrix 5,800,HC,25.0,25.10,[4, 2, 1, 0, 3]
Matrix 5,800,SA,25.0,25.00,[3, 0, 1, 2, 4]
Matrix 5,800,Hybrid,25.0,25.60,[0, 3, 4, 2, 1]
Matrix 5,900,HC,25.0,25.30,[4, 3, 0, 1, 2]
Matrix 5,900,SA,25.0,25.00,[2, 1, 0, 3, 4]
Matrix 5,900,Hybrid,25.0,25.40,[1, 0, 3, 4, 2]
Matrix 5,1000,HC,25.0,25.30,[3, 4, 2, 1, 0]
